seed,policy,interval,arrival_rate,arrivals,queue,utilization,offered_load_ratio,replicas_target,replicas_active,p95_ms,p99_ms,cvar95_ms,smoothed_cvar_ms,pressure,predicted_next_p99_ms,burst
508,keda_style,184,770.3977585725847,231227.0,21227.0,0.5505404761904762,1.1010809523809524,8,7,133.58355840244943,190.75586159929972,166.9434405865238,166.1161841663584,6.399883324207747,12050.278045566562,0
508,keda_style,185,657.5769848779474,196664.0,0.0,0.45393958333333334,0.9078791666666667,8,8,139.5954251450239,202.33841901673625,176.84732533187216,169.33552651601252,0.06919672928530836,235.3510067946466,0
508,keda_style,186,754.5757163022555,226087.0,0.0,0.47101458333333335,0.9420291666666667,8,8,139.10187381484576,203.0406370913295,178.4031912255632,172.0558259288777,0.3847254483717749,285.22292067411496,0
508,keda_style,187,852.4825671901082,255333.0,15333.0,0.53194375,1.0638875,9,8,140.0536846412278,202.33841901673625,179.02254416422215,174.14584139948101,5.54807285449462,8815.480514891116,0
508,keda_style,188,693.4319378760589,208090.0,0.0,0.4137462962962963,0.8274925925925926,9,9,144.37360452658746,206.19214148602563,188.9194303604709,178.57791808777796,0.034039065770267316,225.9239741379458,0
508,keda_style,189,776.3713053387423,232561.0,0.0,0.4306685185185185,0.861337037037037,8,9,144.10190958142883,206.19214148602563,190.4927777259129,182.15237597921842,0.09464410543705316,246.5577659224251,0
508,keda_style,190,743.7596362208072,222969.0,0.0,0.46451875,0.9290375,8,8,145.75715842575877,207.9247166314599,191.599772359206,184.9865948932147,0.2960367969856795,281.43655694994885,0
508,keda_style,191,1026.2835596305013,307755.0,67755.0,0.64115625,1.2823125,9,8,159.94916540293318,216.5669429479761,202.7507948909274,190.31585489252848,5.495094537619086,37660.74548879626,0
508,keda_style,192,872.1502655645787,262387.0,60142.0,0.6113740740740741,1.2227481481481481,10,9,197.7958683521413,267.3922777122687,242.11950187497655,205.8569489872629,0.7038662662405447,33448.59357299483,0
508,keda_style,193,656.2826863091849,197837.0,0.0,0.429965,0.85993,10,10,201.45351927916386,267.3922777122687,244.27712760913383,217.38300257382417,0.009097388116096557,273.74449921264915,0
508,keda_style,194,585.2081005489556,175943.0,0.0,0.2932383333333333,0.5864766666666666,9,10,201.35539988456938,267.14132042622856,242.45885320220768,224.9057577623392,0.004515540773614347,270.67786439356144,0
508,keda_style,195,607.2467261567907,182439.0,0.0,0.33785,0.6757,8,9,202.353709668334,267.14132042622856,244.88769018866515,230.90033749023695,0.01363464682484959,276.30445338970844,0
508,keda_style,196,795.218432765256,238370.0,0.0,0.4966041666666667,0.9932083333333334,8,8,202.15063939970827,267.3922777122687,245.30693712094308,235.22231737944878,4.744289954762246,440.79227755441747,0
508,keda_style,197,792.6237962470582,236276.0,0.0,0.4922416666666667,0.9844833333333334,8,8,202.15063939970827,267.14132042622856,244.06097970568044,237.87391607731826,3.035383353358749,424.0437888122179,0
508,keda_style,198,653.8718024195875,195685.0,0.0,0.40767708333333336,0.8153541666666667,8,8,202.68440466639655,267.3922777122687,245.03473178875674,240.0221607907498,0.06784596914106167,299.97178367488175,0
508,keda_style,199,654.9659442930886,196306.0,0.0,0.40897083333333334,0.8179416666666667,7,8,199.24695221592947,266.571404758803,242.21600011288422,240.68031258739012,0.06666329903434677,299.5884995051955,0
508,keda_style,200,589.0049553883134,176653.0,0.0,0.42060238095238095,0.8412047619047619,6,7,155.53883864425444,219.53751846208817,198.28228503459022,227.96090432155015,0.10071378217888773,308.49906767506565,0
508,keda_style,201,564.614102373987,169148.0,0.0,0.4698555555555556,0.9397111111111112,6,6,133.1462230438429,199.08178859746084,180.65304260403914,213.76854580629683,0.5050668966881942,311.0060126159485,0
508,keda_style,202,669.7127074767328,201914.0,21914.0,0.5608722222222222,1.1217444444444444,7,6,140.61192970216598,202.01374970695346,185.61224237288445,205.3216547762731,7.324159889372534,12444.474891434416,0
508,keda_style,203,564.328662413411,168921.0,0.0,0.4543690476190476,0.9087380952380952,7,7,151.36587085010345,199.6315267128227,188.96768512475853,200.41546388081872,0.07008343118804093,235.30797242252916,0
