policy,seed,mae_p99_ms,rmse_p99_ms,pearson_r,spearman_rho,windows
hpa_like,112,99.87600849517155,171.6594114000988,0.9714719531931731,0.764242809813257,1079
hpa_like,113,105.52491528447187,174.33796792483852,0.964391884128222,0.6794851064998063,1079
hpa_like,114,72.70490247439383,96.56133235141532,0.9348863241973348,0.6311255367668281,1079
hpa_like,115,75.46825708819163,106.29781699990143,0.9580860012768428,0.636504328878971,1079
keda_style,101,92.91188000150665,123.68975836971549,0.9449320124404507,0.6669786186208856,1079
keda_style,102,102.89555535393906,148.11825063434253,0.9518670194458636,0.7273405215102419,1079
keda_style,103,98.22605277886771,143.77942253051515,0.9621512575481128,0.6766732986712941,1079
keda_style,104,107.06607904505285,158.77405124227175,0.9643840387734549,0.7190272091756746,1079
keda_style,105,100.49074092798845,140.8859795159675,0.949447491853913,0.7348207321465795,1079
keda_style,106,91.06455402100963,131.3914897158475,0.957850837705131,0.6793624067226339,1079
keda_style,107,100.8341183786067,142.55095543951418,0.9568263600022421,0.7405190400981243,1079
keda_style,108,90.7498735393562,120.83266310190169,0.9395553041966096,0.7141972596955397,1079
keda_style,109,111.69776728763307,174.34629392031002,0.9789542416542198,0.7380745081593001,1079
keda_style,110,102.90283168738326,145.0482192712982,0.9505742503027987,0.7643087779245324,1079
keda_style,111,105.11377560267742,159.87200091924814,0.9718965571544022,0.6507257140742411,1079
keda_style,112,108.15043581375667,178.04416081878108,0.9687819750014244,0.8039506434564931,1079
keda_style,113,109.22198979498499,177.30923280377345,0.9635387863505311,0.7047501750439319,1079
keda_style,114,93.42405034227464,132.8445303085816,0.9478400710318222,0.6872499691303886,1079
keda_style,115,102.39914562239092,159.40005703536605,0.9783368240094992,0.7265833325112137,1079
pid,101,101.5429973736948,162.93049618752332,0.984411289637915,0.6304243887966942,1079
pid,102,101.1271816563053,171.0189343051896,0.9772447785513259,0.6576142396170173,1079
pid,103,100.76250276193079,177.35863331947456,0.9820338520160079,0.567300893442056,1079
pid,104,122.57821747648218,214.8275442895787,0.9787330104510644,0.6874834044442496,1079
pid,105,117.4832574718285,204.79142838219215,0.9812031286164026,0.7270415207944982,1079
pid,106,105.66640819839911,194.03685350358913,0.9830046260287121,0.6915066663417261,1079
pid,107,112.33838592949073,179.686548020128,0.9797692134903893,0.701720286236571,1079
pid,108,89.67137259314512,132.10999507429904,0.9731443656843076,0.6588498646833332,1079
pid,109,112.30447176011536,191.64421207053283,0.9788240702864311,0.703291064216191,1079
pid,110,120.13844038159623,204.53685382368698,0.9816863315020036,0.7521033722462981,1079
pid,111,99.199150093031,153.52145229827116,0.9689582159323817,0.6409828733591374,1079
pid,112,117.42680648558039,218.34207443991752,0.9811124942271898,0.7515013311346415,1079
pid,113,112.42006914539695,183.80746535131567,0.9729483980140585,0.6851695186605138,1079
pid,114,98.57197152648752,157.63917187002042,0.97576171928544,0.6757588777436597,1079
pid,115,120.67569438283455,237.30715165004105,0.9862098246857908,0.6312197116079875,1079
predictive,101,81.2710440031101,110.70112941391457,0.9523733797158159,0.587579911997227,1079
predictive,102,80.00641191930855,117.5982946041722,0.9464430566549409,0.6195201612576631,1079
predictive,103,81.81738129125301,125.96545446762346,0.9608342970157628,0.5824308080110934,1079
predictive,104,95.98087560327347,150.43132900147975,0.9653930980947821,0.6583029872209835,1079
predictive,105,91.7628147734532,132.28867123961624,0.955618808121632,0.6973995318955915,1079
predictive,106,82.60482268244327,123.57096757817816,0.9604045057997647,0.6174455717853188,1079
predictive,107,92.20894909989295,137.10214336204007,0.9570160320692872,0.6795443332053169,1079
predictive,108,84.99666197267969,114.62972213770448,0.9315386547984555,0.6588004438475255,1079
predictive,109,88.52965698152941,135.13283051828992,0.9629139612646181,0.6258889693737393,1079
predictive,110,92.78247999252925,135.8229639819019,0.9547342699190533,0.7600225849235764,1079
predictive,111,82.65759818724263,108.1562624132161,0.9170057370809113,0.5865942728538706,1079
predictive,112,96.30423134880222,170.8455753406903,0.9714907442635492,0.7707443738640901,1079
predictive,113,92.82877138602201,131.48558724339097,0.9405263634883652,0.6471980375297339,1079
predictive,114,78.05441435001596,102.02722398414912,0.9252350313359945,0.625006091520034,1079
predictive,115,93.48395907771291,154.31117109185337,0.9794314009578766,0.6513865493918694,1079
rule_based,101,87.51893430601476,117.40396531625531,0.9504415406903983,0.6379457680090084,1079
rule_based,102,90.39347439370759,126.92136822427436,0.9425117566587623,0.7349313727598368,1079
rule_based,103,88.25873146174294,134.04014073174886,0.9601214525936874,0.6356891996221062,1079
rule_based,104,100.66786334854739,153.5131294056085,0.9648075384036138,0.7123419865641151,1079
rule_based,105,94.53323787662777,134.12178450548703,0.9548309217655605,0.7133871996000778,1079
rule_based,106,87.18452173392684,128.80255032335637,0.9572642269065984,0.6617545491311233,1079
rule_based,107,98.11138566820632,144.82245400987114,0.9623158851958891,0.7105361787676773,1079
rule_based,108,85.52378375216215,112.5652083396902,0.9297696506378688,0.6689671368707544,1079
rule_based,109,95.2481112272978,141.31677773996313,0.9604696523939324,0.6960752337846726,1079
rule_based,110,96.71212895089799,139.2643521169438,0.9526786701597839,0.7440291833681626,1079
rule_based,111,91.41907158957756,119.78007758156947,0.9319623354339298,0.6240409027479235,1079
rule_based,112,100.30549439627215,172.48615509548287,0.9707632217972297,0.7741727209700721,1079
rule_based,113,112.54901067559068,199.13514434753705,0.9759727574858477,0.6888445254649899,1079
rule_based,114,84.71009375215928,110.21499495087525,0.9334201845704387,0.6501302050861056,1079
rule_based,115,96.75240030330664,157.22088675785096,0.97659609868979,0.6775493034508272,1079
